lon,lat,ve,vn,ee,en,site,yrs,t_start_end,network
26.5458,41.4142,0.2,-1.2,0.18,0.2,ORES,4.53,2014.73-2019.27,BULGARIA
23.9617,43.7345,-0.9,-1.1,0.18,0.16,ORIA,9.14,2010.37-2019.51,BULGARIA
20.7941,41.1273,0.9,-2.6,0.12,0.11,ORID,18.96,2000.55-2019.51,EUREF
23.6407,35.2394,-16.81,-25.22,0.42,0.6,PALC,5.19,2013.96-2019.14,METRICA
24.1743,42.5136,-0.1,-1.57,0.27,0.23,PANG,5.29,2014.22-2019.51,BULGARIA
21.7867,38.2837,-16.51,-20.82,0.22,0.24,PAT0,10.44,2009.07-2019.51,EUREF
21.733,38.2409,-15.61,-21.69,0.19,0.24,PATR,8.47,2011.05-2019.52,METRICA
18.3422,39.8386,0.7,3.8,0.26,0.26,PATU,3.01,2016.49-2019.50,ITALPOS
20.1639,39.2108,-0.22,3.5,0.28,0.33,PAXO,5.56,2013.96-2019.52,METRICA
24.34,42.231,0.34,-1.5,0.19,0.2,PAZA,12.02,2007.49-2019.51,BULGARIA
20.2885,42.6615,0.9,0.1,0.24,0.22,PEJA,6.51,2013.00-2019.51,KOPOS
29.2745,44.801,-0.5,0.0,0.25,0.23,PER1,6.14,2013.37-2019.51,NIEP
20.3531,40.2331,-1.8,-1.2,0.19,0.38,PERM,8.8,2009.63-2018.43,ALBPOS
23.0378,42.6133,-1.0,-2.1,0.49,0.48,PERN,6.88,2012.63-2019.51,BULGARIA
20.4263,41.6853,0.2,-1.74,0.17,0.2,PES3,9.09,2009.91-2019.00,ALBPOS
20.4398,41.6848,-0.4,-2.53,0.18,0.26,PESH,15.51,2004.00-2019.51,ALBANIA
16.8158,39.4851,1.6,3.6,0.12,0.13,PIPA,12.22,2007.29-2019.51,RING
23.4253,42.4766,0.6,-1.5,0.67,0.52,PLA1,9.67,2009.84-2019.51,BULGARIA
16.4383,38.4494,1.6,2.9,0.17,0.14,PLAC,13.8,2005.71-2019.51,RING
19.9444,42.597,0.5,0.2,0.24,0.19,PLAV,11.49,2008.00-2019.49,MONTENEGRO
24.6215,43.4166,-0.1,-0.8,0.17,0.15,PLEV,9.13,2010.37-2019.50,BULGARIA
19.3568,43.3568,1.1,0.9,0.13,0.16,PLJE,11.49,2008.00-2019.49,MONTENEGRO
19.2524,42.4446,0.2,1.1,0.16,0.32,POD1,8.21,2008.00-2016.21,MONTENEGRO
16.2538,40.9166,1.0,4.2,0.12,0.14,POGG,12.12,2007.39-2019.51,PUGLIA
20.5852,38.619,-3.9,-7.2,0.34,0.28,PONT,12.39,2007.12-2019.51,NOA
26.2223,43.3484,-0.4,-0.8,0.21,0.31,POPO,4.57,2014.93-2019.51,BULGARIA
13.0661,52.3793,-0.1,-0.1,0.08,0.11,POTS,19.51,2000.00-2019.51,EUREF
19.6425,43.3855,0.4,0.7,0.13,0.16,PRIJ,11.19,2008.31-2019.50,AGROS
21.5596,41.3436,1.5,-3.4,0.16,0.15,PRIL,10.14,2009.09-2019.23,MAKPOS
27.7531,42.2664,0.1,-1.0,0.12,0.16,PRIM,11.28,2008.23-2019.51,BULGARIA
21.1918,42.6702,0.6,-1.5,0.18,0.18,PRIS,6.51,2013.00-2019.51,KOPOS
26.265,39.2457,-19.51,-13.71,0.16,0.21,PRKV,12.02,2007.49-2019.51,NOA
23.387,41.0684,0.8,-4.9,0.18,0.19,PROW,4.91,2014.59-2019.51,BULGARIA
22.1843,38.3217,-15.31,-15.73,0.18,0.15,PSAR,17.73,2001.78-2019.51,CRL
21.8714,38.3287,-14.61,-16.68,0.74,0.99,PSAT,5.03,2014.45-2019.49,CRL
10.4597,52.2962,0.1,0.2,0.07,0.09,PTBB,19.27,2000.24-2019.51,EUREF
21.6781,40.5114,1.1,-5.8,0.18,0.16,PTOL,7.84,2011.67-2019.52,METRICA
21.742,36.8955,-25.22,-30.52,1.0,0.67,PYL1,5.07,2007.47-2012.54,CRL
21.6953,36.9142,-21.61,-27.12,0.2,0.2,PYLO,7.87,2011.64-2019.51,NOA
21.4622,37.6788,-18.51,-26.52,0.15,0.17,PYRG,8.29,2011.23-2019.52,METRICA
20.6573,42.3974,0.1,-2.5,0.37,0.31,RAHO,6.51,2013.00-2019.51,KOPOS
24.9462,42.279,0.9,-1.6,0.22,0.22,RAKO,4.89,2008.04-2012.93,BULGARIA
23.4716,41.8892,0.5,-3.0,0.23,0.3,RAZ1,4.82,2014.69-2019.51,BULGARIA
24.6131,35.3878,-16.81,-26.62,0.21,0.27,RETH,8.07,2011.45-2019.52,METRICA
24.3578,42.8445,0.3,-1.2,0.12,0.14,RIBA,10.3,2007.49-2017.80,BULGARIA
21.4647,38.0558,-13.97,-22.82,0.21,0.16,RLSO,10.32,2009.19-2019.51,NOA
21.8923,38.308,-13.51,-23.41,0.98,0.94,ROD3,5.31,2014.20-2019.51,CRL
28.1617,36.2926,-10.21,-25.52,0.21,0.27,RODO,8.19,2011.32-2019.52,METRICA
16.6357,39.6004,1.4,4.1,0.25,0.33,ROSC,6.78,2012.73-2019.51,NETGEO
16.6405,39.5998,2.08,4.36,0.23,0.21,ROSS,7.66,2009.63-2017.29,CALABRIA
20.1658,42.8424,1.1,-0.3,0.73,0.7,ROZA,4.72,2014.77-2019.49,MONTENEGRO
24.7405,41.6956,0.45,-2.4,0.15,0.18,ROZH,10.26,2007.00-2017.26,OLG
19.8749,41.7679,-0.89,0.0,0.18,0.26,RRES,9.52,2009.91-2019.43,ALBPOS
25.9494,43.8493,-0.1,-0.1,0.15,0.26,RUS1,6.49,2013.01-2019.51,BULGARIA
19.6967,44.7596,1.8,-0.1,0.21,0.19,SABA,7.81,2011.69-2019.50,AGROS
23.5605,42.3418,0.4,-2.3,0.18,0.2,SAM1,5.66,2013.85-2019.51,BULGARIA
26.7053,37.7928,-19.21,-23.02,0.23,0.27,SAMO,7.51,2012.00-2019.52,METRICA
25.4226,36.4336,-18.91,-29.92,0.45,0.26,SAN2,6.1,2012.00-2018.10,METRICA
23.2678,41.5506,0.5,-3.5,0.16,0.19,SAND,12.02,2007.49-2019.51,BULGARIA
16.6894,39.2633,2.33,3.3,1.0,1.3,SANG,4.24,2009.63-2013.87,CALABRIA
20.0099,39.874,-2.4,-0.1,0.46,0.46,SAR2,4.2,2015.23-2019.43,ALBPOS
357.2302,47.5245,0.3,0.2,0.1,0.11,SARZ,11.51,2008.00-2019.51,RGP
17.9646,40.3852,1.1,4.0,0.08,0.1,SASA,12.29,2007.22-2019.51,PUGLIA
18.4672,40.0723,0.9,3.8,0.09,0.09,SCTE,13.42,2006.09-2019.51,RING
23.0375,41.2859,0.9,-4.84,0.2,0.32,SER1,4.92,2014.59-2019.51,BULGARIA
